id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
995,BB EXT 4X80 HS,MHIO229,BOR BETON EXTREME 4 X 80MM HIOSHI,HIOSHI,PCS,KBB,0.0,
996,MTR RCH 3 HS,MHIO230,ROLL METER RACHET 3 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0.0,
997,MTR RCH 5 HS,MHIO231,ROLL METER RACHET 5 MTR PLAT HITAM HIOSHI,HIOSHI,LSN,KBB,0.0,
998,MTR RCH 7.5 HS,MHIO232,ROLL METER RACHET 7.5 MTR PLAT HTM HIOSHI,HIOSHI,LSN,KBB,0.0,
999,GNT SENG HD8 HS,MHIO233,GUNTING SENG HD 8 HIOSHI,HIOSHI,PCS,KBB,0.0,
1000,GNT 20CM SG HS,MHIO234,GUNTING KERTAS BESAR 20CM SOFT GRIP HIOSHI,HIOSHI,PCS,KBB,0.0,
1001,GNT DHN HD9 HS,MHIO235,GUNTING DAHAN HD 9 GANTUNG HIOSHI,HIOSHI,PCS,KBB,0.0,
1002,KC RD PLG 16 HS,MHIO236,"KUNCI RODA PALANG 16"" (PLAT PENGAMAN) HIOSHI",HIOSHI,PCS,KBB,0.0,
1003,GR BR HD18 HS,MHIO237,"GERGAJI BATA RINGAN HD 18"" (GG KAYU) HIOSHI",HIOSHI,LSN,KBB,0.0,
1004,PL KMB KY HD80Z,MHIO238,PALU KAMBING KAYU HD 80Z HIOSHI,HIOSHI,PCS,KBB,0.0,
1005,PL KMB KY HD120Z,MHIO239,PALU KAMBING KAYU HD 120Z HIOSHI,HIOSHI,PCS,KBB,0.0,
1006,PL TK KY HD300G,MHIO240,PALU TUKANG KAYU HD 300G HIOSHI,HIOSHI,PCS,KBB,0.0,
1007,PL PON EXT 2LB HS,MHIO241,PALU PON EXTREME (FIBER HANDLE) 1KG 2LB,HIOSHI,PCS,KBB,0.0,
1008,PT GR HD60 HS,MHIO242,POTONG GRANIT HD 60CM (TITANIUM),HIOSHI,PCS,KBB,0.0,
1009,MT PTG HD60CM,MHIO243,MATA POTONG HD 60CM (TITANIUM) HIOSHI,HIOSHI,PCS,KBB,0.0,
1010,TREK 3 KK3 HS,MHIO244,TREKER 3 KAKI 3 HIOSHI,HIOSHI,PCS,KBB,0.0,
1011,TREK 3 KK4 HS,MHIO245,TREKER 3 KAKI 4 HIOSHI,HIOSHI,PCS,KBB,0.0,
1012,MR KR BR HS,MHIO246,MARKING KRAYON BIRU HIOSHI,HIOSHI,LSN,KBB,0.0,
1013,TANG BY HD10 LCP,MHIO247,TANG BUAYA HD10 LAPIS KARET MATA LANCIP,HIOSHI,PCS,KBB,0.0,
1014,TIMB GNT 150KG,MHIO248,TIMBANGAN GANTUNG ECO 150KG HIJAU HIOSHI,HIOSHI,PCS,KBB,0.0
