id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode_image
605,MTRHS5 ECO,MHIO150,ROLL 5 MTR HIOSHI ECO,HIOSHI,LSN,KBB,87875.0,
606,MURTD1/2,MXXX57,MUR TANDON 1/2 X 3/4,,PCS,STD,2000.0,
607,MURTD3/4,MXXX58,MUR TANDON 3/4 X 1,,PCS,STD,2650.0,
608,OB HP TORA,MTOR02,OBENG HP TORA,TORA,SET,SMM,67754.5,
609,OB KTK HS,MHIO151,OBENG KETOK KARET 2800 HIOSHI,HIOSHI,PCS,KBB,47369.96,
610,OB MT ANGIN,MBOS10,OBENG MATA ANGIN PH2,BOSCH,PAK,RKW,101300.0,
611,OBB EXT4,MHIO152,OBENG BOLAK BALIK / OBB EXTREME 4',HIOSHI,LSN,KBB,74100.0,
612,OBB USA 4,MMAX02,"OBENG BOLAK BALIK / OBB USA 4"" MAXTECH",MAXTECH,LSN,STD,49500.0,
613,OBB USA HSJ,MHSJ01,OBENG BOLAK BALIK / OBB USA HSJ,HSJ,LSN,MSM,37500.0,
614,OBB USA LEON,MLEO07,OBENG BOLAK BALIK / OBB USA LEON,LEON,LSN,NIB,42000.0,
615,OBBPVC290,MHIO153,OBENG 2 WAY / OBB WARNA N0.290 3X5 HIOSHI,HIOSHI,LSN,KBB,23750.0,
616,OBBPVC3,MHIO154,OBENG 2 WAY WARNA PLASTIK 3X5 HIOSHI,HIOSHI,LSN,KBB,21591.0,
617,OVPL 2 GM,MGOM67,"OVERVAL PLAT GOMEO 2""",GOMEO,LSN,NIB,12250.0,
618,OVPL 2.5 GM,MGOM68,"OVERVAL PLAT GOMEO 2.5""",GOMEO,LSN,NIB,13500.0,
619,OVPL 3 GM,MGOM69,"OVERVAL PLAT GOMEO 3""",GOMEO,LSN,NIB,15000.0,
620,OVPL 4 GM,MGOM70,"OVERVAL PLAT GOMEO 4""",GOMEO,LSN,NIB,16500.0,
621,P SPD MINI,MXXX59,POMPA SEPEDA MINI XP TOOL,,PCS,STD,12000.0,
622,P SPD TOKIO,MTOK12,POMPA SEPEDA PEG PVC TOKIO,TOKIO,PCS,NAS,32500.0,
623,P SPD VPR,MVPR05,POMPA SEPEDA + MTR CHROME VPR,VPR,PCS,MSM,36500.0,
624,PAHATKY1,MMAX03,TATAH GG KARET 5/16 MAXTECH,MAXTECH,LSN,STD,157500.0,
625,PAHATKY2,MMAX04,TATAH GG KARET 1/4 MAXTECH,MAXTECH,LSN,STD,155455.0,
626,PAHATKY3,MMAX05,TATAH GG KARET 5/8 MAXTECH,MAXTECH,LSN,STD,238500.0,
627,PAHATKY4,MMAX06,TATAH GG KARET 3/4 MAXTECH,MAXTECH,LSN,STD,261000.0,
628,PAHATKY5,MMAX07,TATAH GG KARET 1.1/4 MAXTECH,MAXTECH,LSN,STD,297000.0,
629,PAHATKY6,MMAX08,TATAH GG KARET 1.1/2 MAXTECH,MAXTECH,LSN,STD,241364.0,
630,PAHATKY7,MMAX09,TATAH GG KARET 3/8 MAXTECH,MAXTECH,LSN,STD,220500.0,
631,PAHATKY8,MMAX10,TATAH GG KARET 1/2 MAXTECH,MAXTECH,LSN,STD,229500.0,
632,PAHATKY9,MMAX11,TATAH GG KARET 1 MAXTECH,MAXTECH,LSN,STD,279000.0,
633,PB GDO100,MGDO04,PAKU BETON GDO 100,GDO,BOX,BI,51772.66,
634,PB GDO120,MGDO05,PAKU BETON GDO 120,GDO,BOX,BI,68000.0,
635,PB GDO20,MGDO06,PAKU BETON GDO 20,GDO,BOX,BI,5407.7,
636,PB GDO25,MGDO07,PAKU BETON GDO 25,GDO,BOX,BI,0.0,
637,PB GDO30,MGDO08,PAKU BETON GDO 30,GDO,BOX,BI,7727.35,
638,PB GDO40,MGDO09,PAKU BETON GDO 40,GDO,BOX,BI,13136.75,
639,PB GDO50,MGDO10,PAKU BETON GDO 50,GDO,BOX,BI,17772.73,
640,PB GDO60,MGDO11,PAKU BETON GDO 60,GDO,BOX,BI,24721.24,
641,PB GDO70,MGDO12,PAKU BETON GDO 70,GDO,BOX,BI,29363.67,
642,PB GDO80,MGDO13,PAKU BETON GDO 80,GDO,BOX,BI,41727.27,
643,PB KNG 1.1/2 HS,MHIO155,PAKU BETON KUNING 1.1/2 HIOSHI (250GR),HIOSHI,BOX,KBB,9089.6,
644,PB KNG 1.1/4 HS,MHIO156,PAKU BETON KUNING 1.1/4 HIOSHI (250GR),HIOSHI,BOX,KBB,9089.6,
645,PB KNG 2 HS,MHIO157,PAKU BETON KUNING 2 HIOSHI (250GR),HIOSHI,BOX,KBB,9089.6,
646,PB KNG 3 HS,MHIO158,PAKU BETON KUNING 3 HIOSHI (250GR),HIOSHI,BOX,KBB,9089.6,
647,PB KNG1.1/2,MTOR03,PAKU BETON KUNING 1.1/2 TORA,TORA,BOX,SMM,13871.0,
648,PB KNG2,MTOR04,PAKU BETON KUNING 2 TORA,TORA,BOX,SMM,19206.0,
649,PB KNG3,MTOR05,PAKU BETON KUNING 3 TORA,TORA,BOX,SMM,25608.0,
650,PBH 100,MHIO159,PAKU BETON HITAM 100 HIOSHI,HIOSHI,BOX,KBB,20500.0,
651,PBH 125,MHIO160,PAKU BETON HITAM 125 HIOSHI,HIOSHI,BOX,KBB,16397.3,
652,PBH 20,MHIO161,PAKU BETON HITAM 20 HIOSHI,HIOSHI,BOX,KBB,16031.25,
653,PBH 25,MHIO162,PAKU BETON HITAM 25 HIOSHI,HIOSHI,BOX,KBB,16031.25,
654,PBH 30,MHIO163,PAKU BETON HITAM 30 HIOSHI,HIOSHI,BOX,KBB,20500.0,
655,PBH 30 250GR,MHIO164,PAKU BETON HITAM 30 (250 GR),HIOSHI,BOX,KBB,9089.6,
656,PBH 40,MHIO165,PAKU BETON HITAM 40 HIOSHI,HIOSHI,BOX,KBB,20500.0,
657,PBH 40 250GR,MHIO166,PAKU BETON HITAM 40 (250 GR),HIOSHI,BOX,KBB,9089.6,
658,PBH 50,MHIO167,PAKU BETON HITAM 50 HIOSHI,HIOSHI,BOX,KBB,22550.0,
659,PBH 50 250GR,MHIO168,PAKU BETON HITAM 50 (250 GR),HIOSHI,BOX,KBB,9089.6,
660,PBH 63,MHIO169,PAKU BETON HITAM 60 HIOSHI,HIOSHI,BOX,KBB,20500.0,
661,PBH 70,MHIO170,PAKU BETON HITAM 70 HIOSHI,HIOSHI,BOX,KBB,20500.0,
662,PBH 70 250GR,MHIO171,PAKU BETON HITAM 70 (250 GR),HIOSHI,BOX,KBB,9089.6,
663,PBHD1,MHIO172,"PAKU BETON PUTIH HD 1""",HIOSHI,BOX,KBB,9089.6,
664,PBHD1.1/2,MHIO173,"PAKU BETON PUTIH HD 1.1/2""",HIOSHI,BOX,KBB,22550.0,
665,PBHD1.1/4,MHIO174,"PAKU BETON PUTIH HD 1.1/4""",HIOSHI,BOX,KBB,9089.6,
666,PBHD2,MHIO175,"PAKU BETON PUTIH HD 2""",HIOSHI,BOX,KBB,9089.6,
667,PBHD2.1/2,MHIO176,"PAKU BETON PUTIH HD 2.1/2""",HIOSHI,BOX,KBB,18050.0,
668,PBHD3,MHIO177,"PAKU BETON PUTIH HD 3""",HIOSHI,BOX,KBB,9089.6,
669,PBHD4,MHIO178,"PAKU BETON PUTIH HD 4""",HIOSHI,BOX,KBB,22550.0,
