SKU,DAFTAR BARANG,KATEGORI,MERK
MGLX0003,RANTAI ANJING + KALUNG GLX,Rantai,GLX
MIDEK0002,RANTAI ANJING 25 IDEKU,Rantai,IDEKU
MGLX0004,RANTAI ANJING 30 GLX,Rantai,GLX
MIDEK0003,RANTAI ANJING 35 IDEKU,Rantai,IDEKU
MGLX0005,RANTAI ANJING 40 GLX,Rantai,GLX
MGOOD0001,"RANTAI ANJING GOOD 2,5MM",Rantai,GOOD
MHASS0043,REFILL TUBLES BAN HASSTON,Refill,HASSTON
MKENM0003,REGULATOR  NON METER KENMASTER,Regulator,KENMASTER
MCAIS0002,REGULATOR + METER CAISAR,Regulator,CAISAR
MKENM0004,REGULATOR + METER KENMASTER,Regulator,KENMASTER
MSTAR0001,REGULATOR + METER STARCAM,Regulator,STARCAM
MCAIS0003,REGULATOR + SELANG KOMPLIT CAISAR,Regulator,CAISAR
MSTAR0002,REGULATOR NON METER STARCAM,Regulator,STARCAM
MHUBE0013,REL LACI HUBEN 25CM,Rel,HUBEN
MHUBE0014,REL LACI HUBEN 30CM,Rel,HUBEN
MHUBE0015,REL LACI HUBEN 40CM,Rel,HUBEN
MHUBE0016,REL LACI HUBEN 45CM,Rel,HUBEN
MHUBE0017,REL LACI HUBEN 50CM,Rel,HUBEN
MHUBE0018,REL LACI HUBEN DOUBLE TRACK 25CM,Rel,HUBEN
MHUBE0019,REL LACI HUBEN DOUBLE TRACK 30CM,Rel,HUBEN
MHUBE0020,REL LACI HUBEN DOUBLE TRACK 40CM,Rel,HUBEN
MHUBE0021,REL LACI HUBEN DOUBLE TRACK 45CM,Rel,HUBEN
MHUBE0022,REL LACI HUBEN DOUBLE TRACK 50CM,Rel,HUBEN
MJ30001,REL PINTU SLIDING J3,Rel,J3
MAPI0001,RING API KOMPOR 201,Ring,API
MAPI0002,RING API KOMPOR 202,Ring,API
MAPI0003,RING API KOMPOR 203,Ring,API
MAPI0004,RING API KOMPOR 768,Ring,API
MGLX0006,"RODA GEPENG HITAM HIDUP + REM 2"" GLX",Roda,GLX
MCHIY0001,RODA GEPENG MERAH + REM CHIYO,Roda,CHIYO
MGLX0007,RODA GEPENG MERAH + REM GLX,Roda,GLX
MSAB0007,RODA GEPENG NYLON SAB,Roda,SAB
MFUKU0002,"RODA HIDUP + REM 3"" FUKUDA",Roda,FUKUDA
MONAT0003,"RODA HIDUP + REM 4"" ONAT",Roda,ONAT
MFUKU0003,"RODA HIDUP 3"" FUKUDA",Roda,FUKUDA
MONAT0004,"RODA HIDUP 4"" ONAT",Roda,ONAT
MFUKU0004,"RODA MATI 3"" FUKUDA",Roda,FUKUDA
MFUKU0005,"RODA MATI 4"" FUKUDA",Roda,FUKUDA
MHUBE0023,RODA PINTU SLIDING HUBEN SD 12,Roda,HUBEN
MHUBE0024,RODA PINTU SLIDING HUBEN SD 3141,Roda,HUBEN
MHUBE0025,RODA PINTU SLIDING HUBEN SD 338,Roda,HUBEN
MHUBE0026,RODA PINTU SLIDING HUBEN SD 380,Roda,HUBEN
MSLID0001,RODA REL PINTU SLIDING,Roda,SLIDING
MGLX0008,RODA TROLI BULAT HITAM GLX,Roda,GLX
MHIOS0100,ROL METER RACHET HIOSHI 3M,Rol Meter,HIOSHI
MHIOS0101,ROL METER RACHET HIOSHI 5M,Rol Meter,HIOSHI
MHIOS0102,"ROL METER RACHET HIOSHI 7,5M",Rol Meter,HIOSHI
MHIOS0103,ROLL METER BANGJO HIOSHI 3M,Roll Meter,HIOSHI
MHIOS0104,ROLL METER BANGJO HIOSHI 5M,Roll Meter,HIOSHI
MHIOS0105,"ROLL METER BANGJO HIOSHI 7,5M",Roll Meter,HIOSHI
MHIOS0106,ROLL METER CLASSIC 5M HIOSHI,Roll Meter,HIOSHI
MHIOS0107,ROLL METER EXTREME 3M HIOSHI,Roll Meter,HIOSHI
MHIOS0108,ROLL METER OTOMAT HIOSHI 3M,Roll Meter,HIOSHI
MHIOS0109,ROLL METER OTOMAT HIOSHI 5M,Roll Meter,HIOSHI
MPROY0005,ROMPI PROYEK HIJAU,Rompi,PROYEK
MPROY0006,ROMPI PROYEK ORANGE,Rompi,PROYEK
MMODE0050,SAKLAR GERINDA / PROFIL MODERN,Saklar,MODERN
MMODE0051,SAKLAR M-2100B MODERN,Saklar,MODERN
MMODE0052,SAKLAR M-2100C MODERN,Saklar,MODERN
MMODE0053,SAKLAR M-2130 MODERN,Saklar,MODERN
MMODE0054,SAKLAR PASAH MODERN,Saklar,MODERN
MELFA0001,SARINGAN GOT PVC ELFA BIRU,Saringan,ELFA
MNEWS0001,SARINGAN GOT PVC PANJANG NEWSTAR BLUE,Saringan,NEWSTAR
MNEWS0002,SARINGAN GOT PVC PANJANG NEWSTAR MAROON,Saringan,NEWSTAR
MNEWS0003,SARINGAN GOT PVC PANJANG NEWSTAR PINK,Saringan,NEWSTAR
MNEWS0004,SARINGAN GOT PVC PANJANG NEWSTAR WHITE,Saringan,NEWSTAR
MMAJE0003,SARINGAN GOT STAINLESS ANTI KECOA MAJESTY,Saringan,MAJESTY
MCAB0005,SARINGAN GOT STAINLESS CAB,Saringan,CAB
MGOME0026,SARINGAN GOT STAINLESS GOMEO,Saringan,GOMEO
MBOLZ0001,SARINGAN GOT STAINLESS MODEL TOTO BOLZANO,Saringan,BOLZANO
MHIOS0110,SARUNG TANGAN BINTIK HIOSHI PRO,Sarung Tangan,HIOSHI
MHIOS0111,SARUNG TANGAN KAIN HIOSHI PRO,Sarung Tangan,HIOSHI
MBIAS0001,SARUNG TANGAN LAS BIASA,Sarung Tangan,BIASA
MHASS0044,"SARUNG TANGAN LAS HASSTON 14""",Sarung Tangan,HASSTON
MDB0001,SEAL POMPA AIR ISCO MODEL DB - 125,Seal,DB
MISCO0015,SEAL POMPA AIR ISCO MODEL GP - 125,Seal,ISCO
MISCO0016,SEAL POMPA AIR ISCO MODEL GP - 200,Seal,ISCO
MHIOS0112,SEAL TAPE HIOSHI 12MM X 10M,Seal,HIOSHI
MREYN0005,SEAL TAPE JUMBO REYNER,Seal,REYNER
MREYN0006,SEAL TAPE KECIL REYNER,Seal,REYNER
MONDA0020,"SEAL TAPE ONDA ST 01 1/2""",Seal,ONDA
MFURA0001,SEAL TAPE TANGGUNG FURANO,Seal,FURANO
MOMCO0001,SEAL TAPE TANGGUNG OMCO,Seal,OMCO
MFLEK0001,SELANG ANYAM FLEKSIBEL 30,Selang,FLEKSIBEL
MFLEK0002,SELANG ANYAM FLEKSIBEL 40,Selang,FLEKSIBEL
MFLEK0003,SELANG ANYAM FLEKSIBEL 50,Selang,FLEKSIBEL
MFLEK0004,SELANG ANYAM FLEKSIBEL 60,Selang,FLEKSIBEL
MLAZA0010,SELANG KOMPRESOR 100M LAZARO,Selang,LAZARO
MHASS0045,SELANG KOMPRESOR 10M HASSTON,Selang,HASSTON
MLAZA0011,SELANG KOMPRESOR 10M LAZARO,Selang,LAZARO
MXENO0002,SELANG KOMPRESOR 10M XENON,Selang,XENON
MSPIR0001,SELANG KOMPRESOR SPIRAL 12M,Selang,SPIRAL
MSPIR0002,SELANG KOMPRESOR SPIRAL 6M,Selang,SPIRAL
MSPIR0003,SELANG KOMPRESOR SPIRAL 9M,Selang,SPIRAL
MCUCI0001,SELANG MESIN CUCI,Selang,CUCI
MWING0001,SELANG REGULATOR WINGAS,Selang,WINGAS
MCAME0006,SELANG SHOWER CAMEL,Selang,CAMEL
MGENE0008,SELANG WASBAK,Selang,GENERIC
MHIOS0113,SEMPROTAN AIR PVC HIOSHI,Semprotan,HIOSHI
MHPP0023,SEMPROTAN LURUS KUNINGAN HPP,Semprotan,HPP
MGNT0001,SEMPROTAN OLI 250 CC GNT,Semprotan,GNT
MANDO0001,SEPATU BOOT ANDO HIJAU 39,Sepatu,ANDO
MANDO0002,SEPATU BOOT ANDO HIJAU 40,Sepatu,ANDO
MANDO0003,SEPATU BOOT ANDO HIJAU 41,Sepatu,ANDO
MANDO0004,SEPATU BOOT ANDO HIJAU 42,Sepatu,ANDO
MANDO0005,SEPATU BOOT ANDO HIJAU 43,Sepatu,ANDO
MANDO0006,SEPATU BOOT ANDO KUNING 39,Sepatu,ANDO
MANDO0007,SEPATU BOOT ANDO KUNING 40,Sepatu,ANDO
MANDO0008,SEPATU BOOT ANDO KUNING 41,Sepatu,ANDO
MANDO0009,SEPATU BOOT ANDO KUNING 42,Sepatu,ANDO
MANDO0010,SEPATU BOOT ANDO KUNING 43,Sepatu,ANDO
MPROY0007,SEPATU PROYEK HITAM 40,Sepatu,PROYEK
MPROY0008,SEPATU PROYEK HITAM 41,Sepatu,PROYEK
MPROY0009,SEPATU PROYEK HITAM 42,Sepatu,PROYEK
MPROY0010,SEPATU PROYEK HITAM 43,Sepatu,PROYEK
MMASP0009,SETRIKA MASPION EX-1010,Setrika,MASPION
MMASP0010,SETRIKA MASPION HA-110,Setrika,MASPION
MMASP0011,SETRIKA MASPION HA-340,Setrika,MASPION
MIGM0012,SHOWER TIANG IGM IK-046,Shower,IGM
MCAB0006,SIFON WASTAFEL PVC CAB,Sifon,CAB
MSIKA0001,SIKAT BAJA,Sikat,SIKAT
MSIKA0002,SIKAT BAJA 6 BARIS,Sikat,SIKAT
MEAGL0001,SIKAT KAWAT KUNING EAGLE,Sikat,EAGLE
MXENO0003,"SIKU MAGNET LAS 3"" XENON",Siku,XENON
MMEIJ0002,"SIKU MAGNET LAS 4"" MEIJER",Siku,MEIJER
MXENO0004,"SIKU MAGNET LAS 4"" XENON",Siku,XENON
MXENO0005,"SIKU MAGNET LAS 5"" XENON",Siku,XENON
MHASS0046,SIKU MAGNET LAS SET 4 PCS HASSTON,Siku,HASSTON
MXENO0006,SIKU MAGNET LAS SET 4 PCS XENON,Siku,XENON
MGENE0009,SIKU RAK 10 X 12,Siku,GENERIC
MGENE0010,SIKU RAK 12 X 14,Siku,GENERIC
MIGM0013,SIKU RAK 120 X 170 IGM,Siku,IGM
MIGM0014,SIKU RAK 155 X 220 IGM,Siku,IGM
MIGM0015,SIKU RAK 220 X 320 IGM,Siku,IGM
MGENE0011,SIKU RAK 3 X 4,Siku,GENERIC
MGENE0012,SIKU RAK 4 X 5,Siku,GENERIC
MGENE0013,SIKU RAK 5 X 6,Siku,GENERIC
MGENE0014,SIKU RAK 6 X 8,Siku,GENERIC
MGENE0015,SIKU RAK 8 X 10,Siku,GENERIC
MGENE0016,SIKU RAK PUTIH 10X12,Siku,GENERIC
MGENE0017,SIKU RAK PUTIH 12X14,Siku,GENERIC
MGENE0018,SIKU RAK PUTIH 3X4,Siku,GENERIC
MGENE0019,SIKU RAK PUTIH 4X5,Siku,GENERIC
MGENE0020,SIKU RAK PUTIH 5X6,Siku,GENERIC
MGENE0021,SIKU RAK PUTIH 6X8,Siku,GENERIC
MGENE0022,SIKU RAK PUTIH 8X10,Siku,GENERIC
MSTAL0001,"SIKU TUKANG 12"" STALION",Siku,STALION
MMJP0001,SIKU TUKANG 300 MJP,Siku,MJP
MAMAN0003,SILINDER KUNCI AMANI,Silinder,AMANI
MOLIQ0004,SILINDER KUNCI BESAR OLIQ,Silinder,OLIQ
MMULL0015,SILINDER KUNCI MULLER 65060,Silinder,MULLER
MMULL0016,SILINDER KUNCI MULLER 75160 SN,Silinder,MULLER
MMULL0017,SILINDER KUNCI MULLER 85060 SN,Silinder,MULLER
MSN0002,SILINDER KUNCI STAR CLASSIC SN,Silinder,SN
MGAGA0001,"SKRAP GAGANG KARET 2 1/2""",Skrap,GAGANG
MGAGA0002,"SKRAP GAGANG KARET 2""",Skrap,GAGANG
MGAGA0003,"SKRAP GAGANG KARET 3""",Skrap,GAGANG
MGAGA0004,"SKRAP GAGANG KARET 4""",Skrap,GAGANG
MGAGA0005,"SKRAP GAGANG KAYU 2 1/2""",Skrap,GAGANG
MGAGA0006,"SKRAP GAGANG KAYU 2""",Skrap,GAGANG
MGAGA0007,"SKRAP GAGANG KAYU 3""",Skrap,GAGANG
MGAGA0008,"SKRAP GAGANG KAYU 4""",Skrap,GAGANG
MWANL0012,"SKRAP GYPSUM 8"" WANLY",Skrap,WANLY
MGENE0023,"SKRAP PVC 5""",Skrap,GENERIC
MGENE0024,"SKRAP PVC 7""",Skrap,GENERIC
MGENE0025,"SKRAP PVC 9""",Skrap,GENERIC
MPCS0001,SKRAP SET 4 PCS,Skrap,PCS
MGENE0026,SKRAP SET STAINLESS,Skrap,GENERIC
MRRT0017,SKRUP 1 1/2 X 8 RRT,Skrup,RRT
MSIP0001,SKRUP 1 1/2 X 8 SIP,Skrup,SIP
MSIP0002,SKRUP 1 1/4 X 7 SIP,Skrup,SIP
MSBS0001,SKRUP 1 X 6 SBS,Skrup,SBS
MSIP0003,SKRUP 1 X 6 SIP,Skrup,SIP
MSIP0004,SKRUP 1 X 7 SIP,Skrup,SIP
MSIP0005,SKRUP 1/2 X 3 SIP,Skrup,SIP
MISP0001,SKRUP 1/2 X 4 ISP,Skrup,ISP
MSIP0006,SKRUP 2 1/2 X 10 SIP,Skrup,SIP
MCEDA0001,SKRUP 2 X 9 CEDAR,Skrup,CEDAR
MSIP0007,SKRUP 2 X 9 SIP,Skrup,SIP
MSIP0008,SKRUP 3 X 12 SIP,Skrup,SIP
MSIP0009,SKRUP 3/4 X 6 SIP,Skrup,SIP
MCML0001,SKRUP 5/8 X 5 CML,Skrup,CML
MSIP0010,SKRUP 5/8 X 5 SIP,Skrup,SIP
MFAB0001,SKRUP FAB 10 X 1,Skrup,FAB
MFAB0002,SKRUP FAB 10 X 1 1/2,Skrup,FAB
MFAB0003,SKRUP FAB 10 X 1 1/4,Skrup,FAB
MFAB0004,SKRUP FAB 10 X 1/2,Skrup,FAB
MFAB0005,SKRUP FAB 10 X 2,Skrup,FAB
MFAB0006,SKRUP FAB 10 X 2 1/2,Skrup,FAB
MFAB0007,SKRUP FAB 10 X 3,Skrup,FAB
MFAB0008,SKRUP FAB 10 X 3/4,Skrup,FAB
MFAB0009,SKRUP FAB 10 X 5/8,Skrup,FAB
MFAB0010,SKRUP FAB 12 X 1,Skrup,FAB
MFAB0011,SKRUP FAB 12 X 1 1/2,Skrup,FAB
MFAB0012,SKRUP FAB 12 X 1 1/4,Skrup,FAB
MFAB0013,SKRUP FAB 12 X 1/2,Skrup,FAB
MFAB0014,SKRUP FAB 12 X 2,Skrup,FAB
MFAB0015,SKRUP FAB 12 X 2 1/2,Skrup,FAB
MFAB0016,SKRUP FAB 12 X 3,Skrup,FAB
MFAB0017,SKRUP FAB 12 X 3/4,Skrup,FAB
MFAB0018,SKRUP FAB 12 X 4,Skrup,FAB
MFAB0019,SKRUP FAB 12 X 5/8,Skrup,FAB
MFAB0020,SKRUP FAB 8 X 2 1/2,Skrup,FAB
MFAB0021,SKRUP FAB 8 X 3,Skrup,FAB
MPAB0001,SKRUP PAB 10 X 1,Skrup,PAB
MPAB0002,SKRUP PAB 10 X 1 1/2,Skrup,PAB
MPAB0003,SKRUP PAB 10 X 1/2,Skrup,PAB
MPAB0004,SKRUP PAB 10 X 2,Skrup,PAB
MPAB0005,SKRUP PAB 10 X 3,Skrup,PAB
MPAB0006,SKRUP PAB 10 X 3/4,Skrup,PAB
MPAB0007,SKRUP PAB 10 X 5/8,Skrup,PAB
MPAB0008,SKRUP PAB 12 X 1,Skrup,PAB
MPAB0009,SKRUP PAB 12 X 1 1/2,Skrup,PAB
MPAB0010,SKRUP PAB 12 X 1 1/4,Skrup,PAB
MPAB0011,SKRUP PAB 12 X 1/2,Skrup,PAB
MPAB0012,SKRUP PAB 12 X 3/4,Skrup,PAB
MPAB0013,SKRUP PAB 12 X 5/8,Skrup,PAB
MPAB0014,SKRUP PAB 14 X 1,Skrup,PAB
MPAB0015,SKRUP PAB 14 X 1 1/2,Skrup,PAB
MPAB0016,SKRUP PAB 14 X 1/2,Skrup,PAB
MPAB0017,SKRUP PAB 14 X 2 1/2,Skrup,PAB
MPAB0018,SKRUP PAB 6 X 1,Skrup,PAB
MPAB0019,SKRUP PAB 6 X 1 1/2,Skrup,PAB
MPAB0020,SKRUP PAB 6 X 1 1/4,Skrup,PAB
MPAB0021,SKRUP PAB 6 X 1/2,Skrup,PAB
MPAB0022,SKRUP PAB 6 X 2,Skrup,PAB
MPAB0023,SKRUP PAB 6 X 3/4,Skrup,PAB
MPAB0024,SKRUP PAB 6 X 3/8,Skrup,PAB
MPAB0025,SKRUP PAB 6 X 5/8,Skrup,PAB
MPAB0026,SKRUP PAB 8 X 1,Skrup,PAB
MPAB0027,SKRUP PAB 8 X 1 1/2,Skrup,PAB
MPAB0028,SKRUP PAB 8 X 1 1/4,Skrup,PAB
MPAB0029,SKRUP PAB 8 X 1/2,Skrup,PAB
MPAB0030,SKRUP PAB 8 X 2,Skrup,PAB
MPAB0031,SKRUP PAB 8 X 2 1/2,Skrup,PAB
MPAB0032,SKRUP PAB 8 X 3,Skrup,PAB
MPAB0033,SKRUP PAB 8 X 3/4,Skrup,PAB
MPAB0034,SKRUP PAB 8 X 3/8,Skrup,PAB
MPAB0035,SKRUP PAB 8 X 5/8,Skrup,PAB
MHASS0047,SOLDER 40 WATT HASSTON,Solder,HASSTON
MISCO0017,SPRAY GUN F75 TABUNG ATAS ISCO,Spray Gun,ISCO
MCAB0007,SPRING KNIP CAB,Spring,CAB
MMULL0018,SPRING KNIP MULLER 2122 SS,Spring,MULLER
MANAT0001,SPRINGKEL TAMAN ANATA,Spring,ANATA
MHIOS0114,STANG GERGAJI BIASA HIOSHI HGG001B,Stang,HIOSHI
MTRIP0001,STANG GRAJI TRIPLEK,Stang,TRIPLEK
MKODE0001,STANG LAS 200A KODENKI,Stang,KODENKI
MDOZI0001,STANG LAS 300A DOZIRO,Stang,DOZIRO
MDOZI0002,STANG LAS 500A DOZIRO,Stang,DOZIRO
MLAS0003,STANG LAS 600A,Stang,LAS
MXENO0007,STANG LAS 600A XENON,Stang,XENON
MCAME0007,STAPLES TEMBAK CAMEL,Staples,CAMEL
MONDA0021,STOP KRAN ONDA JF08 ST,Stop Kran,ONDA
MTAMB0001,"TALI TAMBANG 1,5MM KUNING",Tali,TAMBANG
MTAMB0002,TALI TAMBANG 1MM KUNING,Tali,TAMBANG
MTAMB0003,TALI TAMBANG 3MM BIRU 10M,Tali,TAMBANG
MTAMB0004,TALI TAMBANG 3MM BIRU 200M,Tali,TAMBANG
MTAMB0005,TALI TAMBANG 3MM BIRU 5M,Tali,TAMBANG
MTAMB0006,TALI TAMBANG 6MM HIJAU 10M,Tali,TAMBANG
MTAMB0007,TALI TAMBANG 6MM HIJAU 200M,Tali,TAMBANG
MTAMB0008,TALI TAMBANG 6MM HIJAU 20M,Tali,TAMBANG
MTRUK0001,TALI TRUK 10M,Tali,TRUK
MTORA0001,TALI TRUK 5M TORA,Tali,TORA
MLAFU0001,TAMBAL TALANG LAFUMA BESAR,Tambal,LAFUMA
MLAFU0002,TAMBAL TALANG LAFUMA KECIL,Tambal,LAFUMA
MMODE0055,TAMBAL TALANG MODERN 3M,Tambal,MODERN
MSOLI0007,TAMBAL TALANG SOLIGEN 3M,Tambal,SOLIGEN
MHIOS0115,"TANG BUAYA BULAT 10"" HIOSHI",Tang,HIOSHI
MHIOS0116,"TANG BUAYA LANCIP 10"" HIOSHI",Tang,HIOSHI
MTEKI0009,"TANG CRIMPING SKUN 9"" TEKIRO",Tang,TEKIRO
MHIOS0117,"TANG KAKAKTUA 9"" HIOSHI",Tang,HIOSHI
MRRT0018,"TANG KOMBINASI 6"" RRT",Tang,RRT
MTEKI0010,"TANG KOMBINASI 7"" TEKIRO",Tang,TEKIRO
MGRT0025,"TANG KOMBINASI 8"" GRT",Tang,GRT
MKODA0002,"TANG KOMBINASI 8"" KODAI",Tang,KODAI
MRRT0019,"TANG KOMBINASI 8"" RRT",Tang,RRT
MTEKI0011,"TANG KOMBINASI 8"" TEKIRO",Tang,TEKIRO
MYUST0001,"TANG KOMBINASI 8"" YUSTAR",Tang,YUSTAR
MHASS0048,"TANG KOMBINASI PLN HASSTON 7""",Tang,HASSTON
MHASS0049,"TANG KOMBINASI PLN HASSTON 8""",Tang,HASSTON
MFURA0002,"TANG LANCIP 6"" FURANO",Tang,FURANO
MMDN0005,"TANG LANCIP 6"" MDN",Tang,MDN
MTEKI0012,"TANG LANCIP 6"" TEKIRO",Tang,TEKIRO
MABUS0001,"TANG POTONG 6"" ABUS",Tang,ABUS
MTEKI0013,"TANG POTONG 6"" TEKIRO",Tang,TEKIRO
MHIOS0118,"TANG RIVET KEPALA SWING 11,5"" HIOSHI",Tang,HIOSHI
MKENM0005,"TANG SPI BENGKOK BUKA 6"" KENMASTER",Tang,KENMASTER
MKENM0006,"TANG SPI BENGKOK TUTUP 6"" KENMASTER",Tang,KENMASTER
MKENM0007,"TANG SPI LURUS BUKA 6"" KENMASTER",Tang,KENMASTER
MKENM0008,"TANG SPI LURUS TUTUP 6"" KENMASTER",Tang,KENMASTER
MFRT0003,TANGGA ALUMINIUM FRT 200,Tang,FRT
MFRT0004,TANGGA ALUMINIUM FRT 250,Tang,FRT
MFRT0005,TANGGA ALUMINIUM FRT 300,Tang,FRT
MCHRO0002,TARIKAN ALPHARD 159 CHROME,Tarikan,CHROME
MSN0003,TARIKAN HANDLE 16 CM SN,Tarikan,SN
MGENE0027,TARIKAN KOM PVC,Tarikan,GENERIC
MKZK0009,"TARIKAN KZK 5"" SN",Tarikan,KZK
MKZK0010,"TARIKAN KZK 6"" SN",Tarikan,KZK
MHUBE0027,TARIKAN LACI HUBEN TPA 12 - 128MM,Tarikan,HUBEN
MHUBE0028,TARIKAN LACI HUBEN TPA 39 - 128MM,Tarikan,HUBEN
MHUBE0029,TARIKAN LACI HUBEN TPA 39 - 96MM,Tarikan,HUBEN
MHUBE0030,TARIKAN LACI HUBEN TPS 10 128-96MM,Tarikan,HUBEN
MHUBE0031,TARIKAN LACI HUBEN TPS 10 156-96MM,Tarikan,HUBEN
MONAT0005,TARIKAN ONAT 008 SN,Tarikan,ONAT
MAMAN0004,TARIKAN PINTU AMANI 178,Tarikan,AMANI
MISCO0018,TARIKAN PINTU ISCO GEPENG,Tarikan,ISCO
MISCO0019,TARIKAN PINTU ISCO OVAL,Tarikan,ISCO
MMULL0019,TARIKAN PINTU MULLER SILVER 153-370,Tarikan,MULLER
MMULL0020,TARIKAN PINTU MULLER SILVER 166-350,Tarikan,MULLER
MMULL0021,TARIKAN PINTU MULLER SILVER 168-420,Tarikan,MULLER
MMULL0022,TARIKAN PINTU MULLER SILVER 178-450,Tarikan,MULLER
MMULL0023,TARIKAN PINTU MULLER SILVER WS701-350 SS,Tarikan,MULLER
MMULL0024,TARIKAN PINTU MULLER SILVER WS701-450 SS,Tarikan,MULLER
MTOP0002,TARIKAN PINTU TOP PH801,Tarikan,TOP
MSN0004,"TARIKAN TIPTOP 3"" SN",Tarikan,SN
MSN0005,"TARIKAN TIPTOP 4"" SN",Tarikan,SN
MAC0001,TARIKAN TOP 086 AC,Tarikan,AC
MGP0002,TARIKAN TOP 086 GP,Tarikan,GP
MSC0001,TARIKAN TOP 086 SC,Tarikan,SC
MAC0002,TARIKAN TOP 087 AC,Tarikan,AC
MGP0003,TARIKAN TOP 087 GP,Tarikan,GP
MSC0002,TARIKAN TOP 087 SC,Tarikan,SC
MAC0003,TARIKAN TOP 088 AC,Tarikan,AC
MGP0004,TARIKAN TOP 088 GP,Tarikan,GP
MSC0003,TARIKAN TOP 088 SC,Tarikan,SC
MAC0004,TARIKAN TOP 091 AC,Tarikan,AC
MGP0005,TARIKAN TOP 091 GP,Tarikan,GP
MSC0004,TARIKAN TOP 091 SC,Tarikan,SC
MAC0005,TARIKAN TOP 093 AC,Tarikan,AC
MGP0006,TARIKAN TOP 093 GP,Tarikan,GP
MSC0005,TARIKAN TOP 093 SC,Tarikan,SC
MAC0006,TARIKAN TOP 095 AC,Tarikan,AC
MGP0007,TARIKAN TOP 095 GP,Tarikan,GP
MSC0006,TARIKAN TOP 095 SC,Tarikan,SC
MAC0007,TARIKAN TOP 097 AC,Tarikan,AC
MGP0008,TARIKAN TOP 097 GP,Tarikan,GP
MSC0007,TARIKAN TOP 097 SC,Tarikan,SC
MAC0008,TARIKAN TOP 098 AC,Tarikan,AC
MGP0009,TARIKAN TOP 098 GP,Tarikan,GP
MSC0008,TARIKAN TOP 098 SC,Tarikan,SC
MAC0009,TARIKAN TOP 186 AC,Tarikan,AC
MGP0010,TARIKAN TOP 186 GP,Tarikan,GP
MSC0009,TARIKAN TOP 186 SC,Tarikan,SC
MGENE0028,"TATAH KAYU 1 1/2""",Tatah,GENERIC
MGENE0029,"TATAH KAYU 1 1/4""",Tatah,GENERIC
MGENE0030,"TATAH KAYU 1""",Tatah,GENERIC
MGENE0031,"TATAH KAYU 1/2""",Tatah,GENERIC
MGENE0032,"TATAH KAYU 1/4""",Tatah,GENERIC
MGENE0033,"TATAH KAYU 3/4""",Tatah,GENERIC
MGENE0034,"TATAH KAYU 3/8""",Tatah,GENERIC
MGENE0035,"TATAH KAYU 5/16""",Tatah,GENERIC
MGENE0036,"TATAH KAYU 5/8""",Tatah,GENERIC
MHALU0001,"TATAKAN AMPLAS HALUS 4""",Tatakan,HALUS
MKASA0001,"TATAKAN AMPLAS KASAR 4""",Tatakan,KASAR
MNRT0001,"TATAKAN AMPLAS KASAR 5"" NRT PRO",Tatakan,NRT
MGENE0037,TEMBAKAN LEM TEBAL,Tembakan,GENERIC
MTULA0001,TEMBAKAN LEM TULANG,Tembakan,TULANG
MHIOS0119,TIMBANGAN BULAT 10 KG HIOSHI,Timbangan,HIOSHI
MHIOS0120,TIMBANGAN BULAT 15 KG HIOSHI,Timbangan,HIOSHI
MHIOS0121,TIMBANGAN BULAT 20 KG HIOSHI,Timbangan,HIOSHI
MMODE0056,TIMBANGAN DIGITAL MODERN,Timbangan,MODERN
MMODE0057,TIMBANGAN DIGITAL MODERN M-150,Timbangan,MODERN
MMODE0058,TIMBANGAN DIGITAL MODERN M-200,Timbangan,MODERN
MHIOS0122,TIMBANGAN GANTUNG HIOSHI 100 KG,Timbangan,HIOSHI
MHIOS0123,TIMBANGAN GANTUNG HIOSHI 150 KG,Timbangan,HIOSHI
MHIOS0124,TIMBANGAN GANTUNG HIOSHI 50 KG,Timbangan,HIOSHI
MHUBE0032,TIP ON BULAT HUBEN TO-1 PUTIH,Tip On,HUBEN
MHASS0050,TIRE INFLATOR TG3 HASSTON,Tire Inflator,HASSTON
MKENM0009,TOOL BOX KENMASTER,Tool Box,KENMASTER
MKENM0010,TOOLBOX KENMASTER B380,Tool Box,KENMASTER
MHASS0051,TOPENG LAS HASSTON 4450-014,Topeng,HASSTON
MHIOS0125,"TREKER 3 KAKI HIOSHI 3""",Treker,HIOSHI
MHIOS0126,"TREKER 3 KAKI HIOSHI 4""",Treker,HIOSHI
MHIOS0127,"TREKER 3 KAKI HIOSHI 6""",Treker,HIOSHI
MHIOS0128,TROWEL KAYU LANCIP 1-4 HIOSHI,Trowel,HIOSHI
MKEEG0001,WASBAK KEEGAN KG 5045 BLACK,Wasbak,KEEGAN
MKEEG0002,WASBAK KEEGAN KG 5045 SILVER,Wasbak,KEEGAN
MKEEG0003,WASBAK KEEGAN KG 6045 BLACK,Wasbak,KEEGAN
MKEEG0004,WASBAK KEEGAN KG 6045 SILVER,Wasbak,KEEGAN
MSB0001,WASBAK ROYAL SB 35,Wasbak,SB
MSB0002,WASBAK ROYAL SB 42 S,Wasbak,SB
MRRT0020,WASBAK RRT 50 CM,Wasbak,RRT
MRRT0021,WASBAK RRT 75 CM,Wasbak,RRT
MRRT0022,WASBAK RRT 90 CM,Wasbak,RRT
MGENE0038,"WATERPASS ALUMINIUM 18""",Waterpass,GENERIC
