id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
827,SR12X14,SR12X14,SIKU RAK 12 X 14 GDO,GDO,LSN,GPS,95000,
828,SR12X14 MJ,SR12X14 MJ,SIKU RAK 12 X 14 MJP,MJP,LSN,NIB,75000,
829,SR12X14 NI,SR12X14 NI,SIKU RAK 12 X 14,,LSN,NIB,83500,
830,SR12X14 PTH,SR12X14 PTH,SIKU RAK PUTIH 12 X 14 GRT,GRT,LSN,SMSL,68875,
831,SR5X6 PTH,SR5X6 PTH,SIKU RAK PUTIH 5 X 6 GRT,GRT,LSN,SMSL,20900,
832,SR5X6 PTH KR,SR5X6 PTH KR,SIKU RAK PUTIH 5 X 6 KR,KURA,LSN,KS,29400,
833,SR6X8,SR6X8,SIKU RAK 6 X 8 GDO,GDO,LSN,NIB,43500,
834,SR6X8 NI,SR6X8 NI,SIKU RAK 6 X 8,,LSN,NIB,30455,
835,SR6X8 PTH,SR6X8 PTH,SIKU RAK PUTIH 6 X 8 GRT,GRT,LSN,SMSL,27075,
836,SR8X10,SR8X10,SIKU RAK 8 X 10 GDO,GDO,LSN,GPS,44000,
837,SR8X10 MJ,SR8X10 MJ,SIKU RAK 8 X 10 MJP,,LSN,NIB,52500,
838,SR8X10 PROF,SR8X10 PROF,SIKU RAK 8 X 10 PROFIX,PROFIX,LSN,NIB,35000,
839,SR8X10 PTH,SR8X10 PTH,SIKU RAK PUTIH 8 X 10 GRT,GRT,LSN,SMSL,35625,
840,SR8X10 PTH KR,SR8X10 PTH KR,SIKU RAK PUTIH 8 X 10 KR,KURA,LSN,KS,38500,
841,SRG TGN BT,SRG TGN BT,SARUNG TANGAN BINTIK MTHR,MATAHARI,LSN,MSI,25000,
842,SRG TGN BT HS,SRG TGN BT HS,SARUNG TANGAN BINTIK HIOSHI,HIOSHI,LSN,KBB,29716,
843,SRG TGN BT HTM,SRG TGN BT HTM,SARUNG TANGAN BINTIK HITAM MTHR,MATAHARI,LSN,MSI,23000,
844,SRG TGN PL HS,SRG TGN PL HS,SARUNG TANGAN POLOS HIOSHI,HIOSHI,LSN,KBB,22724,
845,STGRHD1,STGRHD1,STANG GRAJI BESI HD-1 HIOSHI,HIOSHI,PCS,KBB,21312.5,
846,STGRHGG01,STGRHGG01,STANG GRAJI BESI GG KARET HIOSHI,HIOSHI,LSN,KBB,235125,
847,TALI NY 1 MM,TALI NY 1 MM,TALI NYLON 1 MM NICHIE,NICHIE,PAK,NAS,32500,
848,TANG BY,TANG BY,TANG BUAYA 2 TONE 10' (BULAT),HIOSHI,PCS,KBB,34200,
849,TANG GNTG,TANG GNTG,TANG GANTUNG SATIN KOMBINASI 7',HIOSHI,PCS,KBB,26220,
850,TANG KOM6,TANG KOM6,TANG KOMBINASI ESSEN 6',ESSEN,PCS,GMM,20636,
851,TANG KOM8,TANG KOM8,TANG KOMBINASI ESSEN 8',ESSEN,PCS,GMM,27273,
852,TANG KOM8 YS,TANG KOM8 YS,TANG KOMBINASI 8' YUSTAR ( TANG BC ),YUSTAR,PCS,HHH,9635,
853,TANG KP KBL,TANG KP KBL,TANG KUPAS KABEL TORA,TORA,PCS,SMM,29000,
854,TANG LAS,TANG LAS,TANG LAS MDL AMERICA NICHIE 800A / STANG LAS,NICHIE,PCS,NAS,27500,
855,TANG LAS K,TANG LAS K,TANG LAS RHINO 200 A / STANG LAS K,,PCS,NAS,17500,
856,TANG LCP 6,TANG LCP 6,"TANG LANCIP 6"" HIOSHI",HIOSHI,PCS,KBB,23598,
857,TANG PTG 6,TANG PTG 6,TANG POTONG 6',HIOSHI,PCS,KBB,23598,
858,TANG RVT,TANG RVT,TANG RIVET OTOMATIS KW 1 CAMEL,CAMEL,PCS,PTMS,52273,
859,TANG RVT HS,TANG RVT HS,"TANG RIVET 11,5 HIOSHI",HIOSHI,PCS,KBB,39187.5,
860,TANG RVT HS10,TANG RVT HS10,"TANG RIVET 10,5 HIOSHI",HIOSHI,PCS,KBB,31464,
