id,kd_brg,barcode,nama,merk,satuan,kd_supp,modal,barcode image
1,0BB TESTJM,0BB TESTJM,OBENG TESTPEN 2 WAY JUMBO,HIOSHI,PCS,KBB,4963.75,
2,AGR BT1/2,AGR BT1/2,"AUGERBITS 1/2"" (13 MM) HIOSHI",HIOSHI,PCS,KBB,12825,
3,AGR BT1/4,AGR BT1/4,"AUGERBITS 1/4"" (6MM) HIOSHI",HIOSHI,PCS,KBB,7671.25,
4,AGR BT3/4,AGR BT3/4,"AUGERBITS 3/4"" (19MM) HIOSHI",HIOSHI,PCS,KBB,20757.5,
5,AGR BT3/8,AGR BT3/8,"AUGERBITS 3/8"" (10MM) HIOSHI",HIOSHI,PCS,KBB,9262.5,
6,AGR BT5/16,AGR BT5/16,AUGERBITS 5/16 (8MM) HIOSHI,HIOSHI,PCS,KBB,8193.75,
7,AGR BT5/8,AGR BT5/8,"AUGERBITS 5/8"" (16MM) HIOSHI",HIOSHI,PCS,KBB,16743.75,
8,AMP BLT 120,AMP BLT 120,AMPLAS BULAT 120 SAB,SAB,PCS,SUARI,320,
9,AMP BLT 150,AMP BLT 150,AMPLAS BULAT 150 SAB,SAB,PCS,SUARI,320,
10,AMP BLT 400,AMP BLT 400,AMPLAS BULAT 400 SAB,SAB,PCS,SUARI,325,
11,AMP BLT 60,AMP BLT 60,AMPLAS BULAT 60 SAB,SAB,PCS,SMS,320,
12,AMP BLT 80,AMP BLT 80,AMPLAS BULAT 80 SAB-XX,SAB,PCS,SUARI,270,
13,AMP DC IGM150,AMP DC IGM150,AMPLAS DUCO IGM 150,IGM,PCS,HIK,1150,
14,AMP DC IGM1500,AMP DC IGM1500,AMPLAS DUCO IGM 1500,IGM,PCS,HIK,1150,
15,AMP DC IGM2000,AMP DC IGM2000,AMPLAS DUCO IGM 2000,IGM,PCS,HIK,1150,
16,AMP DC IGM400,AMP DC IGM400,AMPLAS DUCO IGM 400,IGM,PCS,HIK,1150,
17,AMP DC IGM600,AMP DC IGM600,AMPLAS DUCO IGM 600,IGM,PCS,HIK,1150,
18,AMP DCTY 1000,AMP DCTY 1000,AMPLAS DUCO TAIYO 1000,TAIYO,PCS,SUARI,1175,
19,AMP DCTY 2000,AMP DCTY 2000,AMPLAS DUCO TAIYO 2000,TAIYO,PCS,SUARI,1175,
20,AMP DCTY 240,AMP DCTY 240,AMPLAS DUCO TAIYO 240,TAIYO,PCS,SUARI,1175,
21,AMP DCTY 280,AMP DCTY 280,AMPLAS DUCO TAIYO 280,TAIYO,PCS,SUARI,1175,
22,AMP DCTY 400,AMP DCTY 400,AMPLAS DUCO TAIYO 400,TAIYO,PCS,SUARI,1275,
23,AMP DCTY 60,AMP DCTY 60,AMPLAS DUCO TAIYO 60,TAIYO,PCS,SUARI,1175,
24,AMP RL 120 GM,AMP RL 120 GM,AMPLAS ROLL 120 GOMEO,GOMEO,ROL,NIB,190000,
25,AMP RL 60 GM,AMP RL 60 GM,AMPLAS ROLL 60 GOMEO,GOMEO,ROL,NIB,180000,
26,AMP RLKD 120,AMP RLKD 120,AMPLAS ROLL KODAI 120,KODAI,ROL,SUARI,140000,
27,AMP RLKD 150,AMP RLKD 150,AMPLAS ROLL KODAI 150,KODAI,ROL,SUARI,140000,
28,AMP RLKD 240,AMP RLKD 240,AMPLAS ROLL KODAI 240,KODAI,ROL,SUARI,140000,
29,AMP RLKD 400,AMP RLKD 400,AMPLAS ROLL KODAI 400,KODAI,ROL,SUARI,140000,
30,AMP RLKD 80,AMP RLKD 80,AMPLAS ROLL KODAI 80,KODAI,ROL,SUARI,140000,
31,AMP RLTY 100,AMP RLTY 100,AMPLAS ROLL TAIYO 100,TAIYO,ROL,SUARI,205000,
32,AMP RLTY 120,AMP RLTY 120,AMPLAS ROLL TAIYO 120,TAIYO,ROL,SUARI,210000,
33,AMP RLTY 150,AMP RLTY 150,AMPLAS ROLL TAIYO 150,TAIYO,PCS,SUARI,205000,
34,AMP RLTY 180,AMP RLTY 180,AMPLAS ROLL TAIYO 180,TAIYO,ROL,SUARI,205000,
35,AMP RLTY 400,AMP RLTY 400,AMPLAS ROLL TAIYO 400,TAIYO,ROL,SUARI,205000,
36,ARM 2100 JIZ10,ARM 2100 JIZ10,ARM BOR M2100B/JIZ10,MODERN,PCS,GMM,58295,
37,ARM 2300B SIM100,ARM 2300B SIM100,ARM GRINDA M2300B/SIM100,MODERN,PCS,GMM,58295,
38,ARM 2350B,ARM 2350B,ARM GRINDA M2350B,MODERN,PCS,GMM,67450,
39,ARM 2600,ARM 2600,ARM CIRCULAR M2600L,MODERN,PCS,GMM,107955,
40,ARM 2750,ARM 2750,ARMATURE TRIMMER M2750,MODERN,PCS,GMM,74273,
41,ARM M2100 JIZ10B,ARM M2100 JIZ10B,ARMATURE DRILL M-2100B/JIZ-10B,MODERN,PCS,GMM,75050,
42,ARM PLANNER,ARM PLANNER,ARMATURE PLANNER M2900,MODERN,PCS,GMM,74100,
43,ARM TRIMMER,ARM TRIMMER,ARMATURE TRIMMER M2700,MODERN,PCS,GMM,92150,
44,BAKCAT ELGN,BAKCAT ELGN,BAK CAT HITAM ELEGANT,ELEGANT,PCS,NIB,47500,
45,BAKCAT RYR,BAKCAT RYR,BAK CAT REYNER,REYNER,LSN,NIB,47500,
46,BAN DLM ARCO,BAN DLM ARCO,BAN DALAM ARTCO,ARTCO,PCS,NIB,20000,
47,BB BSCH 6,BB BSCH 6,BOR BETON BOSCH 6,BOSCH,PCS,RKW,12183.360000000001,
48,BB BSCH 8,BB BSCH 8,BOR BETON BOSCH 8,BOSCH,PCS,RKW,16200,
49,BB GM 6,BB GM 6,"BOR BETON GOMEO 6""",GOMEO,PCS,NIB,2700,
50,BB GM 8,BB GM 8,"BOR BETON GOMEO 8""",GOMEO,PCS,NIB,4200,
51,BB HSS 10,BB HSS 10,BOR BETON 10 HASSTON,HASSTON,PCS,CPI,14355,
52,BB HSS 12,BB HSS 12,BOR BETON 12 HASSTON,HASSTON,PCS,CPI,19525,
53,BB HSS 6,BB HSS 6,BOR BETON 6 HASSTON,HASSTON,PCS,CPI,9130,
54,BB HSS 8,BB HSS 8,BOR BETON 8 HASSTON,HASSTON,PCS,CPI,12760,
55,BB SDS 8,BB SDS 8,BOR BETON SDS 8,,PCS,RKW,25600,
56,BCP50 PLV,BCP50 PLV,BCP 50 PILOV + AFUR,PILOV,SET,SU,70000,
57,BCP50 PRSTL,BCP50 PRSTL,BCP 50 PRESTIL + AFUR,PRESTIL,SET,STS,67500,
58,BCP50 RRT,BCP50 RRT,BCP 50 X 40 RRT,,PCS,SU,57500,
59,BCP60 YZ,BCP60 YZ,"BCP HM 60 X 45 ""YOZURI""",YOZURI,SET,STS,662055,
60,BCP75 PRSTL,BCP75 PRSTL,BCP 75 PRESTIL + AFUR,PRESTIL,SET,STS,79000,
61,BCP75 RRT,BCP75 RRT,BCP 75 X 40 RRT,,PCS,SU,77500,
62,BCP75 YZ,BCP75 YZ,"BCP HM 75 X 40 ""YOZURI""",YOZURI,SET,STS,715000,
63,BCP96 PLV,BCP96 PLV,BCP 96 PILOV + AFUR,PILOV,SET,SU,95000,
64,BCP96 PRSTL,BCP96 PRSTL,BCP 96 PRESTIL + AFUR,PRESTIL,SET,STS,92600,
65,BCP96 RRT,BCP96 RRT,"BCP / WASHBAK 96 X 43 X 0,4",OLIQ,PCS,LGA,93500,
66,BCP96 RRT SU,BCP96 RRT SU,BCP 96 X 43 RRT,,PCS,SU,87500,
67,BDM 16LBS,BDM 16LBS,BODEM / PALU PON ULIR 16 LBS,HIOSHI,PCS,KBB,148200,
68,BDM 18LBS,BDM 18LBS,BODEM / PALU PON ULIR 18 LBS,HIOSHI,PCS,KBB,166725,
69,BDM 20LBS,BDM 20LBS,BODEM / PALU PON ULIR 20 LBS,HIOSHI,PCS,KBB,190000,
70,BDPL 8545SN,BDPL 8545SN,BODY PELOR GOMEO 8545 SN,GOMEO,LSN,NIB,600000,
71,BDPL CLS,BDPL CLS,BODY PELOR CLASSIC,CLASSIC,LSN,HSJ,441800,
72,BDPL ISCO,BDPL ISCO,BODY PELOR ISCO,ISCO,LSN,STD,31000,
73,BDPL ISCO SET,BDPL ISCO SET,BODY PELOR ISCO PER SET,ISCO,SET,STD,31000,
74,BDPL ISCO SS304,BDPL ISCO SS304,BODY PELOR ISCO PLAT SS304,ISCO,SET,STD,34375,
75,BDPL SS7016,BDPL SS7016,BODY PELOR GOMEO SS 7016,GOMEO,PCS,NIB,87500,
76,BHARCO,BHARCO,BAN HIDUP ARTCO / BAN KOMPLIT,ARTCO,PCS,NIB,130000,
77,BL RL KPL,BL RL KPL,"BULU KUAS ROLL KAPAL 4""",,LSN,,7125,
78,BL RL KPL HH,BL RL KPL HH,"BULU KUAS ROLL KAPAL 4""",,LSN,HHH,7125,
79,BLARCO NI,BLARCO,BAN LUAR ARTCO MERAH,ARTCO,PCS,NIB,52500,
80,BOR KNG 10,BOR KNG 10,"BOR KUNING 10"" GOMEO",GOMEO,PCS,NIB,8250,
81,BOR KNG 3,BOR KNG 3,"BOR KUNING 3"" GOMEO",GOMEO,PCS,NIB,1125,
82,BT KNSL,BT KNSL,BATU SLEP KINIK M100X6X16,KINIK,PCS,JCK,6500,
83,BT10HSH,BT10HSH,BETEL TOPI 10 X 16 HIOSHI,HIOSHI,PCS,KBB,17100,
84,BT12HSH,BT12HSH,BETEL TOPI 12 X 16 HIOSHI,HIOSHI,PCS,KBB,20520,
85,BT8HSH,BT8HSH,BETEL TOPI 8 X 16 HIOSHI,HIOSHI,PCS,KBB,13680,
86,BTAS DYK 6,BTAS DYK 6,BATU ASAH DAYAK 6 ABU,DAYAK,PCS,NAS,8750,
87,BTAS DYK 8,BTAS DYK 8,BATU ASAH DAYAK 8 ABU,DAYAK,PCS,NAS,9500,
88,BTAS TCT,BTAS TCT,BATU ASAH TCT HIOSHI,HIOSHI,PCS,KBB,27312.5,
89,BTAS TCT HSS,BTAS TCT HSS,BATU ASAH TCT HASSTON,HASSTON,PCS,CPI,37675,
90,BTGS AWS6,BTGS AWS6,"BATU GOSOK ORANGE AWS 6""",AWS,PCS,NIB,6400,
91,BTGS AWS8,BTGS AWS8,"BATU GOSOK ORANGE AWS 8""",AWS,PCS,NIB,6400,
92,BTGS DMD8,BTGS DMD8,"BATU GOSOK ABU DMD 8""",DIAMOND,PCS,SMSL,6110,
93,BTGS GRT8,BTGS GRT8,"BATU GOSOK PREMIUM GRT 8""",GRT,PCS,SMSL,21150,
94,BTGS YS 6,BTGS YS 6,BATU GOSOK ORANGE ABU 6' YUSTAR,YUSTAR,PCS,HHH,4275,
95,BTGS YS 8,BTGS YS 8,BATU GOSOK ORANGE ABU 8' YUSTAR,YUSTAR,PCS,HHH,4750,
96,BTGS YY6 OR,BTGS YY6 OR,"BATU GOSOK ORANGE YY 6""",YY,PCS,NIB,6900,
97,BTGS YY8 OR,BTGS YY8 OR,"BATU GOSOK ORANGE YY 8""",YY,PCS,NIB,9250,
98,BTJB 10,BTJB 10,BETEL TOPI JUMBO 10' VPR,VPR,LSN,MSM,130000,
99,BTJB 12,BTJB 12,BETEL TOPI JUMBO 12' VPR,VPR,LSN,MSM,150000,
100,BTJB 8,BTJB 8,BETEL TOPI JUMBO 8' VPR,VPR,LSN,MSM,100000,
101,BTPT BOSCH,BTPT BOSCH,BATU POTONG / CUTTING BOSCH,BOSCH,PCS,RKW,1950.27,
102,BTTP 10 RRT,BTTP 10 RRT,BETEL TOPI 10 RRT,,LSN,SU,100000,
103,BTTP 12 RRT,BTTP 12 RRT,BETEL TOPI 12 RRT,,LSN,SU,114000,
104,BTTP 8 RRT,BTTP 8 RRT,BETEL TOPI 8 RRT,,LSN,SU,76000,
105,BTTP RRT10,BTTP RRT10,BETEL TOPI RRT (FAWI) 10,FAWI,LSN,HIK,97500,
106,BTTP RRT10 TK,BTTP RRT10 TK,BETEL TOPI RRT 10 TOKIO,TOKIO,LSN,NAS,77600,
107,BTTP RRT12,BTTP RRT12,BETEL TOPI RRT (FAWI) 12,FAWI,LSN,HIK,106363.64,
108,BTTP RRT12 TK,BTTP RRT12 TK,BETEL TOPI RRT 12 TOKIO,TOKIO,LSN,NAS,87300,
109,BTTP RRT8,BTTP RRT8,BETEL TOPI RRT (FAWI) 8,FAWI,LSN,HIK,70909.089999999997,
110,BTTP RRT8 TK,BTTP RRT8 TK,BETEL TOPI RRT 8 TOKIO,TOKIO,LSN,NAS,73720,
111,BV PRO1/2,BV PRO1/2,BALL VALVE PRO 1/2' (FULL KUNINGAN),HIOSHI,PCS,KBB,22562.5,
112,BV PRO3/4,BV PRO3/4,BALL VALVE PRO 3/4' (FULL KUNINGAN),HIOSHI,PCS,KBB,27312.5,
113,CB 100,CB 100,CARBON BRUSH CB-100,MODERN,PCS,MT,1700,
114,CB 21,CB 21,CARBON BRUSH CB-21,MODERN,PCS,MT,1700,
115,CB 411,CB 411,CARBON BRUSH CB-411,MODERN,PCS,MT,1700,
116,CB 51,CB 51,CARBON BRUSH CB-51,MODERN,BOX,MDT,1250,
117,CB 64,CB 64,CARBON BRUSH CB-64,MODERN,PCS,MT,1250,
118,CB TIES HTM100,CB TIES HTM100,CABLE TIES HITAM 100,HASSTON,PAK,CPI,3960,
119,CB TIES HTM150,CB TIES HTM150,CABLE TIES HITAM 150,HASSTON,PAK,CPI,5390,
120,CB TIES HTM200,CB TIES HTM200,CABLE TIES HITAM 200,HASSTON,PAK,CPI,12210,
121,CB TIES HTM250,CB TIES HTM250,CABLE TIES HITAM 250,HASSTON,PAK,CPI,18590,
122,CB TIES HTM300,CB TIES HTM300,CABLE TIES HITAM 300,HASSTON,PAK,CPI,22605,
123,CB TIES PTH100,CB TIES PTH100,CABLE TIES PUTIH 100,HASSTON,PAK,CPI,23760,
124,CB TIES PTH150,CB TIES PTH150,CABLE TIES PUTIH 150,HASSTON,PAK,CPI,5390,
125,CB TIES PTH200,CB TIES PTH200,CABLE TIES PUTIH 200,HASSTON,PAK,CPI,12210,
126,CB TIES PTH250,CB TIES PTH250,CABLE TIES PUTIH 250,HASSTON,PAK,CPI,19525,
127,CB TIES PTH300,CB TIES PTH300,CABLE TIES PUTIH 300,HASSTON,PAK,CPI,21474.75,
128,CB TIES PTH500,CB TIES PTH500,CABLE TIES PUTIH 500,VEGAZ,PAK,VJP,38000,
129,CHAINSAW 12,CHAINSAW 12,"MESIN CHAIN SAW 12"" GRINDA MODERN",MODERN,PCS,MT,110000,
130,CIRCLE M2600L,CIRCLE M2600L,MESIN CIRCULARSAW M2600L,MODERN,PCS,GMM,506825,
131,CIRCULARSAW SM10,CIRCULARSAW SM10,"MESIN CIRCULAR SAW SM10""X40T ESSEN",ESSEN,PCS,MT,87200,
132,CT FK9,CT FK9,CATUT / TANG KAKATUA 9 FUKUDA,FUKUDA,PCS,SU,23000,
133,CT HD9,CT HD9,CATUT / TANG KAKATUA HD 9,HIOSHI,LSN,KBB,276000,
134,CT HIOSHI 9,CT HIOSHI 9,CATUT HIOSHI 9,HIOSHI,PCS,KBB,24937.5,
135,CTK HB 10,CTK HB 10,CETOK HEBEL 10 CM HIOSHI,HIOSHI,PCS,KBB,21631.5,
136,CTK KR GLX,CTK KR GLX,CETOK KORALTEX GLX,GLX,LSN,GSS,122000,
137,CTK KRTEX,CTK KRTEX,TROWEL KAYU SEGI ( CETOK KORALTEX),HIOSHI,LSN,KBB,213750,
138,CTK KY BLT,CTK KY BLT,CETOK KAYU BULAT HIOSHI,HIOSHI,LSN,KBB,161500,
139,CTK LNCP,CTK LNCP,TROWEL KAYU LANCIP,HIOSHI,LSN,KBB,228000,
140,CTK LNCP 6,CTK LNCP 6,CETOK LANCIP 6' HIOSHI,HIOSHI,LSN,KBB,156750,
141,CTK LNCP 7,CTK LNCP 7,CETOK LANCIP 7' HIOSHI,HIOSHI,LSN,KBB,166250,
142,CUTWD 14,CUTWD 14,"CUTTING WHEEL 14""",WD,PCS,WDS,30839.130000000001,
143,CUTWD 4,CUTWD 4,"CUTTING WHEEL 4"" (WD)",WD,PCS,WDS,2581.4299999999998,
144,DB TAPE,DB TAPE,DOUBLETAPE,,ROL,STS,2755,
145,DMD BSCH ECO,DMD BSCH ECO,DIAMOND DISC STANDARD ECO KERING,BOSCH,PCS,ACP,29730,
146,DMD BSH STD,DMD BSH STD,DIAMOND DISC STANDARD HIJAU BASAH,BOSCH,PCS,ACP,29730,
147,DMD TR MAX,DMD TR MAX,DIAMOND WHEEL TURBO MAXTECH,MAXTECH,PCS,STD,38500,
148,DMD WH GM,DMD WH GM,DIAMOND WHEEL GOMEO,GOMEO,PCS,NIB,10000,
149,DMD WH TRGM,DMD WH TRGM,DIAMOND WHEEL TURBO GOMEO,GOMEO,PCS,NIB,20500,
150,DMD WH01,DMD WH01,DIAMOND DISC TURBO (BOSCH),BOSCH,PCS,ACP,45066,
151,DONGKRAK,DONGKRAK,DONGKRAK BUAYA 2T 5.5 KG PLASTIC,,PCS,SMT,275000,
152,DS007,DS007,DOOR STOP 007 / MAGNET PINTU DOLPHIN,DOLPHIN,PCS,BI,9818.1800000000003,
153,ENG DPH3,ENG DPH3,ENGSEL DOLPHIN 3' BESI,DOLPHIN,LSN,BI,160000,
154,ENG DPH4,ENG DPH4,ENGSEL DOLPHIN 4' BESI,DOLPHIN,LSN,BI,210000,
155,ENG DPH5,ENG DPH5,ENGSEL DOLPHIN 5' BESI,DOLPHIN,LSN,BI,220000,
156,ENG DPHSS3,ENG DPHSS3,ENGSEL DOLPHIN SS 3',DOLPHIN,LSN,BI,180000,
157,ENG DPHSS4,ENG DPHSS4,ENGSEL DOLPHIN SS 4',DOLPHIN,LSN,BI,254545.45000000001,
158,ENG DPHSS5,ENG DPHSS5,ENGSEL DOLPHIN SS 5',DOLPHIN,LSN,BI,334545.45000000001,
159,ENG GDO3SN,ENG GDO3SN,ENGSEL GDO 3 SN,GDO,LSN,BI,90909.100000000006,
160,ENG GDO4SN,ENG GDO4SN,ENGSEL GDO 4 SN,GDO,LSN,BI,135000,
161,ENG GM 3BLK,ENG GM 3BLK,ENGSEL GOMEO 3' BLACK,GOMEO,LSN,NIB,95000,
162,ENG GM 4BLK,ENG GM 4BLK,ENGSEL GOMEO 4' BLACK,GOMEO,LSN,NIB,137500,
163,ENG GM 5BLK,ENG GM 5BLK,ENGSEL GOMEO 5' BLACK,GOMEO,LSN,NIB,165000,
164,ENG GM3GP,ENG GM3GP,ENGSEL GOMEO 3' GP,GOMEO,LSN,NIB,102500,
165,ENG GM3SN,ENG GM3SN,ENGSEL GOMEO 3' SN,GOMEO,LSN,NIB,107500,
166,ENG GM4GP,ENG GM4GP,ENGSEL GOMEO 4' GP,GOMEO,LSN,NIB,147500,
167,ENG GM4SN,ENG GM4SN,ENGSEL GOMEO 4' SN,GOMEO,LSN,NIB,157500,
168,ENG GM5GP,ENG GM5GP,ENGSEL GOMEO 5' GP,GOMEO,LSN,NIB,175000,
169,ENG GM5SN,ENG GM5SN,ENGSEL GOMEO 5' SN,GOMEO,LSN,NIB,180000,
170,ENG GRT 3SN,ENG GRT 3SN,ENGSEL GRT 3' SN,GRT,LSN,SMSL,76500,
171,ENG GRT 4GP,ENG GRT 4GP,ENGSEL GRT 4' GP,GRT,LSN,SMSL,142500,
172,ENG GRT 4SN,ENG GRT 4SN,ENGSEL GRT 4' SN,GRT,LSN,SMSL,118500,
173,ENG GRT 5SN,ENG GRT 5SN,ENGSEL GRT 5' SN,GRT,LSN,SMSL,173375,
174,ENG HPP3GP,ENG HPP3GP,ENGSEL HPP 3 GP,HPP,LSN,HSJ,47940,
175,ENG IGM3SN,ENG IGM3SN,ENGSEL IGM 3 SN,IGM,LSN,HIK,98636.360000000001,
176,ENG OLIQ3SN,ENG OLIQ3SN,ENGSEL OLIQ 3SN,OLIQ,LSN,LGA,100000,
177,ENG SLN 9 PTH,ENG SLN 9 PTH,ENGSEL SALON 9 PTH ESLON,,LSN,KA,32432.400000000001,
178,ENG TPS 2.5,ENG TPS 2.5,ENGSEL TIPIS 2.5 GP MJP,MJP,LSN,NIB,33000,
179,ENG TPS 2.5 GM,ENG TPS 2.5 GM,ENGSEL TIPIS 2.5 GP GOMEO,GOMEO,LSN,NIB,32000,
180,ENG TPS 2.5 RRT,ENG TPS 2.5 RRT,"ENGSEL TIPIS 2.5"" RRT",,LSN,KA,8000,
181,ENG TPS 3 RRT,ENG TPS 3 RRT,"ENGSEL TIPIS 3"" RRT",,LSN,GSS,11750,
182,ENG TPS 3 SS,ENG TPS 3 SS,ENGSEL TIPIS IGM 3 SS,IGM,LSN,HIK,38000,
183,ENG TPS2 GP,ENG TPS2 GP,"ENGSEL TIPIS 2"" GP GOMEO",GOMEO,LSN,NIB,25000,
184,ENG TPS3 GP,ENG TPS3 GP,"ENGSEL TIPIS 3"" GP GOMEO",GOMEO,LSN,NIB,38000,
185,ENG TR3GP,ENG TR3GP,ENGSEL TREGO 3 GP,TREGO,LSN,LGA,98700,
186,ENG TR3SN,ENG TR3SN,ENGSEL TREGO 3 SN,TREGO,LSN,LGA,98700,
187,ENG TR4SN,ENG TR4SN,ENGSEL TREGO 4 SN,,LSN,LGA,142410,
188,ENG TR5SN,ENG TR5SN,ENGSEL TREGO 5 SN,,LSN,LGA,172490,
189,FIBERTAPE,FIBERTAPE,FIBERTAPE,,PCS,MSM,2800,
190,FIBERTAPE PR,FIBERTAPE PR,FIBERTAPE PROFIX,PROFIX,PCS,NIB,2650,
191,GB OCP2,GB OCP2,GRENDEL BULAT OCP 2' KURA,KURA,LSN,KA,28000,
192,GB OCP3,GB OCP3,GRENDEL BULAT OCP 3' KURA,,LSN,KA,37500,
193,GB OCP4,GB OCP4,GRENDEL BULAT OCP 4' KURA,KURA,LSN,KA,47500,
194,GBH 6,GBH 6,GRENDEL BULAT HITAM 6,GDO,LSN,BI,25000,
195,GC KROX,GC KROX,GANCO KROX (DANDANG) 5 LB,,LSN,NAS,654750,
196,GJ CKLT KR,GJ CKLT KR,GRENDEL JEPIT COKLAT KURA,KURA,LSN,KS,10500,
197,GJ PTH KR,GJ PTH KR,GRENDEL JEPIT PUTIH KURA,KURA,LSN,KS,9500,
198,GL STICK,GL STICK,LEM GLUE STICK / LEM BAKAR BENING K,,KG ,HF,42000,
199,GL STICK B,GL STICK B,LEM GLUE STICK / LEM BAKAR BENING B,ONE DROP,KG ,HF,42000,
200,GLX FLEX18,GLX FLEX18,MATA GRAJI GLX FLEX 18T,GLX,PCS,GSS,1850,
201,GM OV PDK 30,GM OV PDK 30,GEMBOK OVAL PENDEK 30 HIOSHI,HIOSHI,PCS,KBB,10488,
202,GM OV PDK 40,GM OV PDK 40,GEMBOK OVAL PENDEK 40 HIOSHI,HIOSHI,PCS,KBB,13984,
203,GM OV PDK 50,GM OV PDK 50,GEMBOK OVAL PENDEK 50 HIOSHI,HIOSHI,PCS,KBB,17480,
204,GM OV PJG 30,GM OV PJG 30,GEMBOK OVAL PANJANG 30 HIOSHI,HIOSHI,PCS,KBB,12236,
205,GM OV PJG 50,GM OV PJG 50,GEMBOK OVAL PANJANG 50 HIOSHI,HIOSHI,PCS,KBB,19228,
206,GMB HTM50 GLX,GMB HTM50 GLX,GEMBOK HITAM 50MM GLX,GLX,LSN,GSS,130000,
207,GMB KC ECO20,GMB KC ECO20,GEMBOK KECIL ECO WARNA 20 MM HIOSHI,HIOSHI,LSN,KBB,68400,
208,GMB KC ECO25,GMB KC ECO25,GEMBOK KECIL ECO WARNA 25 MM HIOSHI,HIOSHI,LSN,KBB,72675,
209,GMB KC ECO30,GMB KC ECO30,GEMBOK KECIL ECO WARNA 30 MM HIOSHI,HIOSHI,LSN,KBB,95000,
210,GMB KC ECO40,GMB KC ECO40,GEMBOK KECIL ECO WARNA 40 MM HIOSHI,HIOSHI,LSN,KBB,118060.53,
211,GMJD 30 PDK,GMJD 30 PDK,GEMBOK JODOH 30 PENDEK,HIOSHI,LSN,KBB,196650,
212,GMJD 30 PJG,GMJD 30 PJG,GEMBOK JODOH 30 PANJANG,HIOSHI,LSN,KBB,191781.25,
213,GMJD 40 PDK,GMJD 40 PDK,GEMBOK JODOH 40 PENDEK,HIOSHI,LSN,KBB,235980,
214,GMJD 40 PJG,GMJD 40 PJG,GEMBOK JODOH 40 PANJANG,HIOSHI,LSN,KBB,243839.95000000001,
215,GMJD 50 PDK,GMJD 50 PDK,GEMBOK JODOH 50 PENDEK,HIOSHI,LSN,KBB,314640,
216,GMJD 50 PJG,GMJD 50 PJG,GEMBOK JODOH 50 PANJANG,HIOSHI,LSN,KBB,314640,
217,GMJD 60 PDK,GMJD 60 PDK,GEMBOK JODOH 60 PENDEK,HIOSHI,LSN,KBB,353970,
218,GMJD 60 PJG,GMJD 60 PJG,GEMBOK JODOH 60 PANJANG,HIOSHI,LSN,KBB,393300,
219,GNT 16CM ECO,GNT 16CM ECO,GUNTING KERTAS ECO 16 CM HIOSHI,HIOSHI,PCS,KBB,5408.3100000000004,
220,GNT 6 SS,GNT 6 SS,GUNTING S/S 6' HIOSHI,HIOSHI,PCS,KBB,10567.139999999999,
221,GNT DH LRS8,GNT DH LRS8,"GUNTING DAHAN LURUS 8"" (TIGER )",HIOSHI,PCS,KBB,29150.75,
222,GNT HL TORA,GNT HL TORA,GUNTING HOLO TORA,TORA,PCS,SMM,50000,
223,GNT HL10 VG,GNT HL10 VG,GUNTING HOLO 10 VEGAZ,VEGAZ,PCS,VJP,45000,
224,GNT HOLO 10,GNT HOLO 10,GUNTING HOLO CRV 10 HIOSHI,HIOSHI,PCS,KBB,52250,
225,GNT KWT EXTR,GNT KWT EXTR,GUNTING KAWAT EXTREME 42 HIOSHI,HIOSHI,PCS,KBB,313500,
226,GNT PG HS,GNT PG HS,GUNTING PAGAR / RUMPUT HIOSHI,HIOSHI,PCS,KBB,26919.200000000001,
227,GNTGHOLO,GNTGHOLO,GUNTING HOLO HEAVY DUTY CAMEL,CAMEL,PCS,PTMS,25909,
228,GNTGKR,GNTGKR,GUNTING KOREA (905) CAMEL,CAMEL,PCS,PTMS,20000,
229,GNTKWT HD30,GNTKWT HD30,GUNTING KAWAT / BETON HD30,HIOSHI,PCS,KBB,0,
230,GNTKWT HD36,GNTKWT HD36,GUNTING KAWAT / BETON HD36,HIOSHI,PCS,KBB,182192.20000000001,
231,GNTKWT30HS,GNTKWT30HS,GUNTING KAWAT EXTREME 30 HIOSHI,HIOSHI,PCS,KBB,142500,
232,GNTKWT36HS,GNTKWT36HS,GUNTING KAWAT EXTREME 36 (UPGRADE),HIOSHI,PCS,KBB,178125,
233,GO 2 GM,GO 2 GM,"GRENDEL OVERVAL 2"" GOMEO",GOMEO,LSN,NIB,35000,
234,GO 2 PTH KR,GO 2 PTH KR,"GRENDEL OVERVAL 2"" PUTIH KURA",KURA,LSN,KS,24000,
235,GO 3 GM,GO 3 GM,"GRENDEL OVERVAL 3"" GOMEO",GOMEO,LSN,NIB,41000,
236,GR 18 YS,GR 18 YS,"GOROK KARET ORANGE 18"" YUSTAR",YUSTAR,PCS,HHH,12271.15,
237,GR DBLMY,GR DBLMY,GRAJI DOBEL MYROS,,BOX,GSS,62500,
238,GR DP 3,GR DP 3,GRENDEL DOBEL PLAT 3',KZK,LSN,BS,25455,
239,GR DP 4,GR DP 4,GRENDEL DOBEL PLAT 4',,LSN,NIB,26000,
240,GR GM 18,GR GM 18,GRAJI GOROK GOMEO 18,GOMEO,LSN,NIB,215000,
241,GR HB 18,GR HB 18,"GRAJI BATA RINGAN / GOROK HEBEL GOMEO 18""",GOMEO,LSN,NIB,187500,
242,GR HS 18EX,GR HS 18EX,GOROK KAYU 18' EXTREME HIOSHI,HIOSHI,PCS,KBB,34616.519999999997,
